p_id,name,price,colour,brand
16362740,House of Pataudi Women Yellow & Gold-Toned Striped Angrakha Kurta,3499.0,Yellow,House of Pataudi
9861569,AHIKA Women Pink & White Printed Straight Kurta,860.0,Pink,AHIKA
13905666,Anouk Women Blue & Yellow Ethnic Motifs Pure Cotton Printed Kurta,999.0,Blue,Anouk
7372858,anayna Women Maroon & Beige Printed Straight Kurta,1799.0,Maroon,anayna
6630426,Vishudh Women Green Printed Straight Kurta,1549.0,Green,Vishudh
17102460,Anouk Women Cream-Coloured Striped Kurta with Trousers,1699.0,Cream,Anouk
19040404,KARAJ JAIPUR Women Pink Embroidered Kurti with Trousers & With Dupatta,4895.0,Pink,KARAJ JAIPUR
12663796,EXTRA LOVE BY LIBAS Plus Size Women Pink Ethnic Motifs Printed Cotton Kurta with Trousers,2499.0,Pink,EXTRA LOVE BY LIBAS
15863332,Vishudh Women Pink Keyhole Neck Thread Work Kurta,1249.0,Pink,Vishudh
13078430,W Women Black & Golden Printed Straight Kurta,1899.0,Black,W
19049798,Rustorange Women Black Printed Kurti with Dhoti Pants & With Dupatta,2549.0,Black,Rustorange
15212276,Varanga Women Rust Brown & Beige Floral Screen Printed Pure Cotton A-Line Kurta,3499.0,Rust,Varanga
15388170,W Women Green & White Ethnic Motifs Printed Kurta,1999.0,Green,W
15883506,Vishudh Women Pink Striped Layered Top with Palazzos & Jacket,2849.0,Pink,Vishudh
18288422,Bhama Couture Women Off White  Floral Chanderi Silk Anarkali Kurta & Dupatta,4499.0,Off White,Bhama Couture
18952266,KALINI Women Burgundy Ethnic Motifs Chikankari Kurta,1050.0,Burgundy,KALINI
16362760,House of Pataudi Women Navy Blue Floral Printed Jashn Kurta with Palazzos & With Dupatta,3699.0,Navy Blue,House of Pataudi
13681780,ZIYAA Women Green & White Self Design Kurta with Trousers,2842.0,Green,ZIYAA
12530322,HERE&NOW Women Off-White & Red Printed Straight Kurta,1199.0,Off White,HERE&NOW
17761364,Varanga Women Red Kurta with Trousers & With Dupatta,4999.0,Red,Varanga
14602270,Libas Women Grey Self Design Chanderi Silk Kurta with Skirt & With Dupatta,7999.0,Grey,Libas
14884798,Anouk Women Navy Blue Embroidered Regular Pure Cotton Kurta with Trousers,2699.0,Navy Blue,Anouk
19043646,Charu Women Brown Embroidered Thread Work Kurta,2799.0,Brown,Charu
13290414,Sangria Women White & Blue Printed A-Line Kurta with Trousers,4099.0,Blue,Sangria
18916982,AHIKA Women Purple Printed Cotton Kurta,1748.0,Purple,AHIKA
15268838,Varanga Women Maroon & Beige Ethnic Motifs Printed Thread Work Kurta,3299.0,Maroon,Varanga
16498918,KALINI Women Turquoise Blue Ethnic Motifs Printed Floral Anarkali Kurta,2259.0,Turquoise Blue,KALINI
19181492,Baisacrafts Women Yellow Printed High Slit Pure Cotton Top with Palazzos & With Dupatta,4499.0,Yellow,Baisacrafts
14925418,Anouk Women Maroon Geometric Print Pure Cotton Kurta with Trousers,1899.0,Maroon,Anouk
14924962,Nayo Women Maroon Striped Pure Cotton Kurta with Palazzos & Dupatta,3499.0,Maroon,Nayo
15889762,HERE&NOW Women Yellow Ethnic Motifs Printed Kurta,899.0,Yellow,HERE&NOW
13238030,Anouk Women Mustard Kurta,999.0,Mustard,Anouk
19324656,FASHOR Women Pink Floral Embroidered Straight Fit Kurta,2799.0,Pink,FASHOR
15980500,Ishin Women Mustard Yellow Embroidered Regular Gotta Patti Kurta with Sharara & With Dupatta,8299.0,Mustard,Ishin
18788070,Vishudh Women Cream-Coloured Striped Layered Kurti with Palazzos & Dupatta,2249.0,Cream,Vishudh
17088842,Anouk Women White Floral Embroidered Sequinned Kurta with Trousers,3499.0,White,Anouk
9365713,Sangria Women Beige & Black Printed Kurta with Palazzos,2799.0,Beige,Sangria
17090254,Anouk Women Maroon Solid Kurta with Palazzos,2699.0,Maroon,Anouk
12768526,GERUA Women White Yoke Design Panelled Pure Cotton Kurta with Sharara,2999.0,White,GERUA
18127942,AURELIA Women White Floral Embroidered Sequined Cotton Kurta,1599.0,White,AURELIA
16362862,House of Pataudi Women Sea Green & Pink Ethnic Motifs Printed Straight Kurta,1699.0,Sea Green,House of Pataudi
16629336,Sangria Women Orange Floral Printed Pleated Pure Cotton Kurti with Salwar,3399.0,Orange,Sangria
15520698,Indo Era Women Navy Blue Floral Yoke Design Kurta,2599.0,Navy Blue,Indo Era
19043914,KALINI Women Green Floral Panelled Kurti with Salwar,2999.0,Green,KALINI
17417200,Anouk Women Red & White Bandhani Printed Angrakha Gotta Patti A-Line Kurta,2999.0,Red,Anouk
16858486,Vishudh Women Red Embroidered Pure Cotton Kurta with Trousers,2399.0,Red,Vishudh
17089644,Yufta Striped Cotton Blend Scalloped Edge Kurta Set,3699.0,Pink,Yufta
10317793,Jaipur Kurti Women Pink & Green Printed Kurta with Trousers,3049.0,Pink,Jaipur Kurti
18966566,Soch Beige Embellished Chanderi Silk Kurta,2498.0,Beige,Soch
